Dateiname;Laenge;Breite;Dicke;Gewicht;Material;SW-MX;SW-MY;SW-MZ;Px;Py;Pz;GltNummer;fingerprint
SD1832;462,00;300,00;19,00;2,63;.Korpusmaterial;231;150;9,5;19829,72;46919,51;66590,79;01;5e90a7e5fe3c399f7cdbb38c70faa4217e09d153da05c1017d9b744f3cf503c8
SD1833;462,00;300,00;19,00;2,63;.Korpusmaterial;231;150;9,5;19829,72;46919,51;66590,79;01;5e90a7e5fe3c399f7cdbb38c70faa4217e09d153da05c1017d9b744f3cf503c8
SD1834;800,00;300,00;19,00;4,56;.Korpusmaterial;400;150;9,5;34337,18;243337,18;277400;02;05375c592a8f58e4c59dc40e3c257c2411869a03171ed0887d3c1db64201ae1f
SD1835;800,00;300,00;19,00;4,56;.Korpusmaterial;400;150;9,5;34337,18;243337,18;277400;02;05375c592a8f58e4c59dc40e3c257c2411869a03171ed0887d3c1db64201ae1f
