Dateiname;Laenge;Breite;Dicke;Gewicht;Material;SW-MX;SW-MY;SW-MZ;Px;Py;Pz;GltNummer;fingerprint
SD1833;462,00;300,00;19,00;2,63;.Korpusmaterial;231;150;9,5;19829,72;46919,51;66590,79;01;37ac4055e03aceeec0421dd5ddaad34ea235f6cb8e3a2251ac1f8c471b0cf226
SD1834;800,00;300,00;19,00;4,56;.Korpusmaterial;400;150;9,5;34337,18;243337,18;277400;02;8080de28b9be82df00e2269e656d61078666cddeee73fd466c445b5d1a5a3457
SD1832;462,00;300,00;19,00;2,63;.Korpusmaterial;231;150;9,5;19829,72;46919,51;66590,79;01;37ac4055e03aceeec0421dd5ddaad34ea235f6cb8e3a2251ac1f8c471b0cf226
SD1835;800,00;300,00;19,00;4,56;.Korpusmaterial;400;150;9,5;34337,18;243337,18;277400;02;8080de28b9be82df00e2269e656d61078666cddeee73fd466c445b5d1a5a3457
