Dateiname;Laenge;Breite;Dicke;Gewicht;Material;SW-MX;SW-MY;SW-MZ;Px;Py;Pz;GltNummer;fingerprint
SD1833;462,00;300,00;19,00;2,63;.Korpusmaterial;231;150;9,5;19829,72;46919,51;66590,79;01;0f7c5b7e8f7254e051afa0fe26e5a6db8f3b669e5eb97684b20fcb54b836857d
SD1834;800,00;300,00;19,00;4,56;.Korpusmaterial;400;150;9,5;34337,18;243337,18;277400;02;d15b5ff0da65d77d1249aa116cf8961a2f35028ee5ec85d6bd49fa760e769ec6
SD1832;462,00;300,00;19,00;2,63;.Korpusmaterial;231;150;9,5;19829,72;46919,51;66590,79;01;0f7c5b7e8f7254e051afa0fe26e5a6db8f3b669e5eb97684b20fcb54b836857d
SD1835;800,00;300,00;19,00;4,56;.Korpusmaterial;400;150;9,5;34337,18;243337,18;277400;02;d15b5ff0da65d77d1249aa116cf8961a2f35028ee5ec85d6bd49fa760e769ec6
